name,artist_wiki_references,artist_wiki_links,artist_categories,artist_most_common_nationality
john marin ,48,58,"1870 births, 1953 deaths, 19th-century American male artists, 19th-century American painters, 20th-century American male artists, 20th-century American painters, 20th-century American printmakers, American landscape painters, American male painters, Art Students League of New York alumni, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with MoMA identifiers, Articles with Musée d'Orsay identifiers, Articles with NARA identifiers, Articles with NKC identifiers, Articles with NTA identifiers, Articles with PLWABN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with VcBA identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Burials at Fairview Cemetery (Fairview, New Jersey), Modern artists, Pennsylvania Academy of the Fine Arts alumni, People from Cliffside Park, New Jersey, People from Rutherford, New Jersey, People from Washington County, Maine, People from Weehawken, New Jersey, Short description is different from Wikidata, Students of William Merritt Chase",American
richard diebenkorn ,58,229,"1922 births, 1993 deaths, 20th-century American male artists, 20th-century American painters, 20th-century American printmakers, Abstract expressionist artists, Abstract painters, American Expressionist painters, American Figurative Expressionism, American abstract artists, American contemporary painters, American male painters, Articles with BIBSYS identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CINII identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with LNB identifiers, Articles with Libris identifiers, Articles with MoMA identifiers, Articles with MusicBrainz identifiers, Articles with NLA identifiers, Articles with NTA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with VcBA identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Artists from Berkeley, California, Artists from Los Angeles, Artists from Portland, Oregon, Artists from the San Francisco Bay Area, CS1 errors: missing periodical, Honorary Members of the Royal Academy, Members of the American Academy of Arts and Letters, National Academy of Design members, Painters from California, San Francisco Art Institute alumni, Short description is different from Wikidata, Stanford University alumni, United States Marines, University of New Mexico alumni, Use mdy dates from May 2016, Webarchive template wayback links",American
claude monet ,133,362,"1840 births, 1926 deaths, 19th-century French painters, 20th-century French painters, 20th-century male artists, All articles with unsourced statements, Articles with AAG identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with NGV identifiers, Articles with NLA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hCards, Articles with short description, Articles with unsourced statements from May 2021, Artists from Le Havre, Artists from Paris, Biography with signature, Burials in Normandy, CS1 French-language sources (fr), Claude Monet, Commons link from Wikidata, Deaths from lung cancer in France, French Impressionist painters, French atheists, French male painters, Légion d'honneur refusals, People from Eure, Short description is different from Wikidata, Use British English from May 2021, Use dmy dates from November 2022, Webarchive template wayback links, École des Beaux-Arts alumni",French
rosa bonheur ,78,182,"1822 births, 1899 deaths, 19th-century French painters, 19th-century French sculptors, 19th-century French women artists, All articles with dead external links, All articles with unsourced statements, Articles with AAG identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DSI identifiers, Articles with DTBIO identifiers, Articles with FNZA identifiers, Articles with GND identifiers, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with NARA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with dead external links from October 2022, Articles with hCards, Articles with permanently dead external links, Articles with short description, Articles with unsourced statements from March 2016, Artists from Bordeaux, Burials at Père Lachaise Cemetery, Chevaliers of the Légion d'honneur, Commons link is on Wikidata, Equine artists, Female-to-male cross-dressers, French LGBT painters, French Realist painters, French lesbian artists, French people of Jewish descent, French women painters, Lesbian painters, National Portrait Gallery (London) person ID same as Wikidata, Officiers of the Légion d'honneur, Recipients of the Legion of Honour, Short description is different from Wikidata, Sibling artists, Society of Women Artists members, Use dmy dates from April 2017, Webarchive template wayback links, Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference, Wikipedia articles needing clarification from December 2021",French
"sir terry frost, r.a. ",38,51,"1915 births, 2003 deaths, 20th-century English male artists, 20th-century English painters, 21st-century English male artists, 21st-century English painters, Abstract expressionist artists, Academics of Coventry University, Academics of the University of Leeds, Academics of the University of Reading, Alumni of Camberwell College of Arts, Articles with AAG identifiers, Articles with AGSA identifiers, Articles with BIBSYS identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ICCU identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with NTA identifiers, Articles with National Gallery of Canada identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, British Army Commandos soldiers, British Army personnel of World War II, British World War II prisoners of war, English male painters, Knights Bachelor, Military personnel from Warwickshire, Modern painters, People from Leamington Spa, People from Newlyn, Royal Academicians, Short description is different from Wikidata, St Ives artists, Use British English from March 2012, Use dmy dates from March 2021, World War II prisoners of war held by Germany",English
huang yongyu ,32,37,"1907 births, 1989 deaths, 20th-century Chinese painters, Academic staff of the Central Academy of Fine Arts, Articles containing Chinese-language text, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with NKC identifiers, Articles with NLA identifiers, Articles with NLK identifiers, Articles with NTA identifiers, Articles with PLWABN identifiers, Articles with RKDartists identifiers, Articles with SUDOC identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Burials at Babaoshan Revolutionary Cemetery, CS1 Chinese-language sources (zh), China Academy of Art alumni, Educators from Xuzhou, Pages with non-numeric formatnum arguments, Painters from Xuzhou",Chinese
salman toor ,35,42,"1983 births, 21st-century American painters, Aitchison College alumni, American LGBT artists, Articles with GND identifiers, Articles with LCCN identifiers, Articles with SUDOC identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Artists from Lahore, CS1 maint: url-status, Living people, Ohio Wesleyan University alumni, Pakistani LGBT artists, Pakistani artists, Pakistani emigrants to the United States, Pratt Institute alumni, Short description matches Wikidata",Pakistani
max ernst ,83,381,"1891 births, 1976 deaths, 20th-century German male artists, 20th-century German painters, 20th-century German sculptors, All articles needing additional references, All articles with unsourced statements, Articles needing additional references from March 2018, Articles with AAG identifiers, Articles with AGSA identifiers, Articles with BIBSYS identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CANTICN identifiers, Articles with CINII identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ICCU identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with KBR identifiers, Articles with LCCN identifiers, Articles with LNB identifiers, Articles with Libris identifiers, Articles with MoMA identifiers, Articles with MusicBrainz identifiers, Articles with NDL identifiers, Articles with NGV identifiers, Articles with NKC identifiers, Articles with NLA identifiers, Articles with NLG identifiers, Articles with NSK identifiers, Articles with NTA identifiers, Articles with National Gallery of Canada identifiers, Articles with PIC identifiers, Articles with PLWABN identifiers, Articles with PortugalA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with Städel identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with VcBA identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Articles with unsourced statements from December 2021, Atelier 17 alumni, Burials at Père Lachaise Cemetery, CS1 maint: url-status, Commons category link from Wikidata, Dada, EngvarB from November 2018, German Army personnel of World War I, German dadaists, German emigrants to the United States, German male painters, German male sculptors, German surrealist artists, Guggenheim family, Max Ernst, Modern painters, Modern sculptors, People from Brühl (Rhineland), People from Sedona, Arizona, People from the Rhine Province, People of Montmartre, Short description is different from Wikidata, Surrealist artists, University of Bonn alumni, Use dmy dates from March 2021, Wikipedia articles needing page number citations from December 2021",German
zhang daqian ,56,73,"1899 births, 1983 deaths, 20th-century Chinese male artists, Academic staff of Nanjing University, Academic staff of the National Central University, Art forgers, Articles containing Chinese-language text, Articles containing traditional Chinese-language text, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CINII identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with NDL identifiers, Articles with NLA identifiers, Articles with NLK identifiers, Articles with NTA identifiers, Articles with PLWABN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Buddhist artists, CS1 Chinese-language sources (zh), Chinese male painters, Educators from Sichuan, No local image but image on Wikidata, Pages using infobox person with multiple spouses, Painters from Sichuan, People from Neijiang, Recipients of the Order of Chiang Chung-Cheng, Republic of China painters, Taiwanese people from Sichuan, Use dmy dates from March 2017",Chinese
"sandra blow, r.a. ",31,46,"1925 births, 2006 deaths, 20th-century English painters, 20th-century English women artists, 21st-century English painters, 21st-century English women artists, Abstract painters, Academics of the Royal College of Art, Alumni of Saint Martin's School of Art, Articles with BIBSYS identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with FAST identifiers, Articles with ISNI identifiers, Articles with LCCN identifiers, Articles with MoMA identifiers, Articles with NGV identifiers, Articles with NTA identifiers, Articles with National Gallery of Canada identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, English women painters, Jewish women artists, Pages using cite ODNB with id parameter, Painters from London, People from Newington, London, Royal Academicians, Short description is different from Wikidata, St Ives artists, Use British English from June 2017, Use dmy dates from June 2017, Wikipedia articles incorporating a citation from the ODNB",English
